participant,trial,task,sentence,answer,count_correct
595bb42745265c000166d399,35,speech_single,bkbf0803,The match boxes are empty,2
595bb42745265c000166d399,36,speech_single,bkbf0913,The dinner plate's hot,2
595bb42745265c000166d399,37,speech_single,bkbf0213,Some sticks were under the tree,0
595bb42745265c000166d399,38,speech_single,bkbf1203,The front garden was pretty,3
595bb42745265c000166d399,39,speech_single,bkbf0602,The mother stirs the tea,0
595bb42745265c000166d399,40,speech_single,bkbf0310,The man cleaned his shoes,3
5a16ae50c259f30001766bef,1,speech_single,bkbf0414,The cooks making a cake,3
5a16ae50c259f30001766bef,2,speech_single,bkbf0803,The match boxes are empty,2
5a16ae50c259f30001766bef,3,speech_single,bkbf1408,The kitchen window was clean,3
5a16ae50c259f30001766bef,4,speech_single,bkbf0906,A letter fell on the mat,1
5a16ae50c259f30001766bef,5,speech_single,bkbf0109,The postman shut the gate,1
5a16ae50c259f30001766bef,6,speech_single,bkbf0714,The orange was quite sweet,3
5a16ae50c259f30001766bef,7,speech_single,bkbf2012,The raincoat's hanging up,0
5a16ae50c259f30001766bef,8,speech_single,bkbf1609,Some men shave in the morning,0
5a16ae50c259f30001766bef,9,speech_single,bkbf0216,The school finished early,0
5a16ae50c259f30001766bef,10,speech_single,bkbf0512,Somebody took the money,3
5a16ae50c259f30001766bef,11,speech_single,bkbf0210,The police chased the car,3
5a16ae50c259f30001766bef,12,speech_single,bkbf1203,The front garden was pretty,3
5a16ae50c259f30001766bef,13,speech_single,bkbf0204,The old gloves are dirty,2
5a16ae50c259f30001766bef,14,speech_single,bkbf0912,The lady packed her bag,3
5a16ae50c259f30001766bef,15,speech_single,bkbf1907,A grocer sells butter,1
5a16ae50c259f30001766bef,16,speech_single,bkbf1212,The children help the milkman,3
5a16ae50c259f30001766bef,17,speech_single,bkbf1205,The taps are above the sink,0
5a16ae50c259f30001766bef,18,speech_single,bkbf2112,The cricket team's playing,0
5a16ae50c259f30001766bef,19,speech_single,bkbf1906,The cleaner swept the floor,2
5a16ae50c259f30001766bef,20,speech_single,bkbf2110,The egg cups are on the table,3
5a16ae50c259f30001766bef,21,speech_single,bkbf1701,The apple pie's cooking,3
5a16ae50c259f30001766bef,22,speech_single,bkbf0411,The jam jar was full,3
5a16ae50c259f30001766bef,23,speech_single,bkbf0502,The matches lie on the shelf,3
5a16ae50c259f30001766bef,24,speech_single,bkbf1208,The bread van's coming,3
5a16ae50c259f30001766bef,25,speech_single,bkbf0310,The man cleaned his shoes,3
5a16ae50c259f30001766bef,26,speech_single,bkbf2016,The flower stands in a pot,0
5a16ae50c259f30001766bef,27,speech_single,bkbf0213,Some sticks were under the tree,2
5a16ae50c259f30001766bef,28,speech_single,bkbf1301,The fruit came in a box,1
5a16ae50c259f30001766bef,29,speech_single,bkbf0812,The bus stopped suddenly,2
5a16ae50c259f30001766bef,30,speech_single,bkbf0913,The dinner plate's hot,0
5a16ae50c259f30001766bef,31,speech_single,bkbf0201,The ladder's near the door,1
5a16ae50c259f30001766bef,32,speech_single,bkbf0501,The bath towel was wet,3
5a16ae50c259f30001766bef,33,speech_single,bkbf0615,The broom stood in the corner,2
5a16ae50c259f30001766bef,34,speech_single,bkbf0206,The thin dog was hungry,2
5a16ae50c259f30001766bef,35,speech_single,bkbf1008,Someones crossing the road,3
5a16ae50c259f30001766bef,36,speech_single,bkbf1215,The boy had a toy dragon,3
5a16ae50c259f30001766bef,37,speech_single,bkbf1415,The grass is getting long,3
5a16ae50c259f30001766bef,38,speech_single,bkbf1516,The puppy plays with a ball,1
5a16ae50c259f30001766bef,39,speech_single,bkbf1616,The painter used a brush,2
5a16ae50c259f30001766bef,40,speech_single,bkbf0602,The mother stirs the tea,0
5e18ca0eba65e719f09679ba,1,speech_single,bkbf0206,The thin dog was hungry,0
5e18ca0eba65e719f09679ba,2,speech_single,bkbf0812,The bus stopped suddenly,2
5e18ca0eba65e719f09679ba,3,speech_single,bkbf1907,A grocer sells butter,3
5e18ca0eba65e719f09679ba,4,speech_single,bkbf0602,The mother stirs the tea,0
5e18ca0eba65e719f09679ba,5,speech_single,bkbf1701,The apple pie's cooking,0
5e18ca0eba65e719f09679ba,6,speech_single,bkbf1203,The front garden was pretty,3
5e18ca0eba65e719f09679ba,7,speech_single,bkbf1415,The grass is getting long,3
5e18ca0eba65e719f09679ba,8,speech_single,bkbf1215,The boy had a toy dragon,3
5e18ca0eba65e719f09679ba,9,speech_single,bkbf1301,The fruit came in a box,2
5e18ca0eba65e719f09679ba,10,speech_single,bkbf0310,The man cleaned his shoes,3
5e18ca0eba65e719f09679ba,11,speech_single,bkbf2016,The flower stands in a pot,0
5e18ca0eba65e719f09679ba,12,speech_single,bkbf0615,The broom stood in the corner,2
5e18ca0eba65e719f09679ba,13,speech_single,bkbf0411,The jam jar was full,3
5e18ca0eba65e719f09679ba,14,speech_single,bkbf2012,The raincoat's hanging up,0
5e18ca0eba65e719f09679ba,15,speech_single,bkbf0216,The school finished early,3
5e18ca0eba65e719f09679ba,16,speech_single,bkbf0803,The match boxes are empty,2
5e18ca0eba65e719f09679ba,17,speech_single,bkbf1205,The taps are above the sink,2
5e18ca0eba65e719f09679ba,18,speech_single,bkbf1516,The puppy plays with a ball,3
5e18ca0eba65e719f09679ba,19,speech_single,bkbf1906,The cleaner swept the floor,3
5e18ca0eba65e719f09679ba,20,speech_single,bkbf0912,The lady packed her bag,3
5e18ca0eba65e719f09679ba,21,speech_single,bkbf0906,A letter fell on the mat,3
5e18ca0eba65e719f09679ba,22,speech_single,bkbf0213,Some sticks were under the tree,3
5e18ca0eba65e719f09679ba,23,speech_single,bkbf0201,The ladder's near the door,3
5e18ca0eba65e719f09679ba,24,speech_single,bkbf0204,The old gloves are dirty,2
5e18ca0eba65e719f09679ba,25,speech_single,bkbf0913,The dinner plate's hot,1
5e18ca0eba65e719f09679ba,26,speech_single,bkbf0714,The orange was quite sweet,3
5e18ca0eba65e719f09679ba,27,speech_single,bkbf1609,Some men shave in the morning,1
5e18ca0eba65e719f09679ba,28,speech_single,bkbf0109,The postman shut the gate,2
5e18ca0eba65e719f09679ba,29,speech_single,bkbf1008,Someones crossing the road,3
5e18ca0eba65e719f09679ba,30,speech_single,bkbf0414,The cooks making a cake,3
5e18ca0eba65e719f09679ba,31,speech_single,bkbf1208,The bread van's coming,1
5e18ca0eba65e719f09679ba,32,speech_single,bkbf0502,The matches lie on the shelf,2
5e18ca0eba65e719f09679ba,33,speech_single,bkbf1408,The kitchen window was clean,3
5e18ca0eba65e719f09679ba,34,speech_single,bkbf1212,The children help the milkman,2
5e18ca0eba65e719f09679ba,35,speech_single,bkbf0512,Somebody took the money,3
5e18ca0eba65e719f09679ba,36,speech_single,bkbf0501,The bath towel was wet,3
5e18ca0eba65e719f09679ba,37,speech_single,bkbf2112,The cricket team's playing,0
5e18ca0eba65e719f09679ba,38,speech_single,bkbf2110,The egg cups are on the table,3
5e18ca0eba65e719f09679ba,39,speech_single,bkbf1616,The painter used a brush,3
5e18ca0eba65e719f09679ba,40,speech_single,bkbf0210,The police chased the car,3
5e399832a6df461b2f4db341,1,speech_single,bkbf0414,The cooks making a cake,2
5e399832a6df461b2f4db341,2,speech_single,bkbf0913,The dinner plate's hot,0
5e399832a6df461b2f4db341,3,speech_single,bkbf1301,The fruit came in a box,0
5e399832a6df461b2f4db341,4,speech_single,bkbf0210,The police chased the car,2
5e399832a6df461b2f4db341,5,speech_single,bkbf1215,The boy had a toy dragon,3
5e399832a6df461b2f4db341,6,speech_single,bkbf1212,The children help the milkman,3
5e399832a6df461b2f4db341,7,speech_single,bkbf1906,The cleaner swept the floor,2
5e399832a6df461b2f4db341,8,speech_single,bkbf1701,The apple pie's cooking,3
5e399832a6df461b2f4db341,9,speech_single,bkbf0512,Somebody took the money,3
5e399832a6df461b2f4db341,10,speech_single,bkbf1907,A grocer sells butter,3
5e399832a6df461b2f4db341,11,speech_single,bkbf0201,The ladder's near the door,2
5e399832a6df461b2f4db341,12,speech_single,bkbf2110,The egg cups are on the table,2
5e399832a6df461b2f4db341,13,speech_single,bkbf2012,The raincoat's hanging up,0
5e399832a6df461b2f4db341,14,speech_single,bkbf0213,Some sticks were under the tree,2
5e399832a6df461b2f4db341,15,speech_single,bkbf2016,The flower stands in a pot,0
5e399832a6df461b2f4db341,16,speech_single,bkbf1008,Someones crossing the road,3
5e399832a6df461b2f4db341,17,speech_single,bkbf0803,The match boxes are empty,2
5e399832a6df461b2f4db341,18,speech_single,bkbf0714,The orange was quite sweet,3
5e399832a6df461b2f4db341,19,speech_single,bkbf0216,The school finished early,3
5e399832a6df461b2f4db341,20,speech_single,bkbf0906,A letter fell on the mat,2
5e399832a6df461b2f4db341,21,speech_single,bkbf1203,The front garden was pretty,3
5e399832a6df461b2f4db341,22,speech_single,bkbf1208,The bread van's coming,2
5e399832a6df461b2f4db341,23,speech_single,bkbf0501,The bath towel was wet,2
5e399832a6df461b2f4db341,24,speech_single,bkbf1205,The taps are above the sink,0
5e399832a6df461b2f4db341,25,speech_single,bkbf0602,The mother stirs the tea,1
5e399832a6df461b2f4db341,26,speech_single,bkbf0109,The postman shut the gate,1
5e399832a6df461b2f4db341,27,speech_single,bkbf0310,The man cleaned his shoes,3
5e399832a6df461b2f4db341,28,speech_single,bkbf0206,The thin dog was hungry,1
5e399832a6df461b2f4db341,29,speech_single,bkbf0615,The broom stood in the corner,0
5e399832a6df461b2f4db341,30,speech_single,bkbf0912,The lady packed her bag,3
5e399832a6df461b2f4db341,31,speech_single,bkbf1408,The kitchen window was clean,1
5e399832a6df461b2f4db341,32,speech_single,bkbf1415,The grass is getting long,3
5e399832a6df461b2f4db341,33,speech_single,bkbf0204,The old gloves are dirty,2
5e399832a6df461b2f4db341,34,speech_single,bkbf1609,Some men shave in the morning,2
5e399832a6df461b2f4db341,35,speech_single,bkbf2112,The cricket team's playing,0
5e399832a6df461b2f4db341,36,speech_single,bkbf0812,The bus stopped suddenly,2
5e399832a6df461b2f4db341,37,speech_single,bkbf1516,The puppy plays with a ball,3
5e399832a6df461b2f4db341,38,speech_single,bkbf0411,The jam jar was full,3
5e399832a6df461b2f4db341,39,speech_single,bkbf1616,The painter used a brush,2
5e399832a6df461b2f4db341,40,speech_single,bkbf0502,The matches lie on the shelf,3
5e737fcd8934222da1cebe01,1,speech_single,bkbf0912,The lady packed her bag,0
5e737fcd8934222da1cebe01,2,speech_single,bkbf1208,The bread van's coming,1
5e737fcd8934222da1cebe01,3,speech_single,bkbf1008,Someones crossing the road,0
5e737fcd8934222da1cebe01,4,speech_single,bkbf1516,The puppy plays with a ball,1
5e737fcd8934222da1cebe01,5,speech_single,bkbf0213,Some sticks were under the tree,1
5e737fcd8934222da1cebe01,6,speech_single,bkbf0201,The ladder's near the door,1
5e737fcd8934222da1cebe01,7,speech_single,bkbf0216,The school finished early,2
5e737fcd8934222da1cebe01,8,speech_single,bkbf0206,The thin dog was hungry,0
5e737fcd8934222da1cebe01,9,speech_single,bkbf1907,A grocer sells butter,0
5e737fcd8934222da1cebe01,10,speech_single,bkbf2012,The raincoat's hanging up,0
5e737fcd8934222da1cebe01,11,speech_single,bkbf0210,The police chased the car,2
5e737fcd8934222da1cebe01,12,speech_single,bkbf0812,The bus stopped suddenly,2
5e737fcd8934222da1cebe01,13,speech_single,bkbf1301,The fruit came in a box,2
5e737fcd8934222da1cebe01,14,speech_single,bkbf1408,The kitchen window was clean,2
5e737fcd8934222da1cebe01,15,speech_single,bkbf1215,The boy had a toy dragon,3
5e737fcd8934222da1cebe01,16,speech_single,bkbf1203,The front garden was pretty,3
5e737fcd8934222da1cebe01,17,speech_single,bkbf2016,The flower stands in a pot,0
5e737fcd8934222da1cebe01,18,speech_single,bkbf0714,The orange was quite sweet,3
5e737fcd8934222da1cebe01,19,speech_single,bkbf0310,The man cleaned his shoes,3
5e737fcd8934222da1cebe01,20,speech_single,bkbf1906,The cleaner swept the floor,1
5e737fcd8934222da1cebe01,21,speech_single,bkbf0502,The matches lie on the shelf,2
5e737fcd8934222da1cebe01,22,speech_single,bkbf1701,The apple pie's cooking,3
5e737fcd8934222da1cebe01,23,speech_single,bkbf0803,The match boxes are empty,3
5e737fcd8934222da1cebe01,24,speech_single,bkbf0204,The old gloves are dirty,2
5e737fcd8934222da1cebe01,25,speech_single,bkbf0602,The mother stirs the tea,1
5e737fcd8934222da1cebe01,26,speech_single,bkbf0109,The postman shut the gate,0
5e737fcd8934222da1cebe01,27,speech_single,bkbf2110,The egg cups are on the table,3
5e737fcd8934222da1cebe01,28,speech_single,bkbf0906,A letter fell on the mat,1
5e737fcd8934222da1cebe01,29,speech_single,bkbf0411,The jam jar was full,3
5e737fcd8934222da1cebe01,30,speech_single,bkbf0512,Somebody took the money,3
5e737fcd8934222da1cebe01,31,speech_single,bkbf1609,Some men shave in the morning,0
5e737fcd8934222da1cebe01,32,speech_single,bkbf0414,The cooks making a cake,3
5e737fcd8934222da1cebe01,33,speech_single,bkbf1415,The grass is getting long,1
5e737fcd8934222da1cebe01,34,speech_single,bkbf1212,The children help the milkman,3
5e737fcd8934222da1cebe01,35,speech_single,bkbf1205,The taps are above the sink,3
5e737fcd8934222da1cebe01,36,speech_single,bkbf0615,The broom stood in the corner,0
5e737fcd8934222da1cebe01,37,speech_single,bkbf0501,The bath towel was wet,3
5e737fcd8934222da1cebe01,38,speech_single,bkbf0913,The dinner plate's hot,2
5e737fcd8934222da1cebe01,39,speech_single,bkbf2112,The cricket team's playing,0
5e737fcd8934222da1cebe01,40,speech_single,bkbf1616,The painter used a brush,3
5edd263a2514f6a1f7efe19a,1,speech_single,bkbf1215,The boy had a toy dragon,3
5edd263a2514f6a1f7efe19a,2,speech_single,bkbf0310,The man cleaned his shoes,1
5edd263a2514f6a1f7efe19a,3,speech_single,bkbf0213,Some sticks were under the tree,1
5edd263a2514f6a1f7efe19a,4,speech_single,bkbf0912,The lady packed her bag,0
5edd263a2514f6a1f7efe19a,5,speech_single,bkbf1408,The kitchen window was clean,2
5edd263a2514f6a1f7efe19a,6,speech_single,bkbf0414,The cooks making a cake,2
5edd263a2514f6a1f7efe19a,7,speech_single,bkbf1212,The children help the milkman,3
5edd263a2514f6a1f7efe19a,8,speech_single,bkbf0512,Somebody took the money,0
5edd263a2514f6a1f7efe19a,9,speech_single,bkbf0615,The broom stood in the corner,2
5edd263a2514f6a1f7efe19a,10,speech_single,bkbf0714,The orange was quite sweet,2
5edd263a2514f6a1f7efe19a,11,speech_single,bkbf0210,The police chased the car,2
5edd263a2514f6a1f7efe19a,12,speech_single,bkbf2112,The cricket team's playing,2
5edd263a2514f6a1f7efe19a,13,speech_single,bkbf1208,The bread van's coming,1
5edd263a2514f6a1f7efe19a,14,speech_single,bkbf2110,The egg cups are on the table,0
5edd263a2514f6a1f7efe19a,15,speech_single,bkbf1301,The fruit came in a box,1
5edd263a2514f6a1f7efe19a,16,speech_single,bkbf0411,The jam jar was full,1
5edd263a2514f6a1f7efe19a,17,speech_single,bkbf0206,The thin dog was hungry,3
5edd263a2514f6a1f7efe19a,18,speech_single,bkbf1516,The puppy plays with a ball,0
5edd263a2514f6a1f7efe19a,19,speech_single,bkbf0803,The match boxes are empty,2
5edd263a2514f6a1f7efe19a,20,speech_single,bkbf2012,The raincoat's hanging up,0
5edd263a2514f6a1f7efe19a,21,speech_single,bkbf1205,The taps are above the sink,0
5edd263a2514f6a1f7efe19a,22,speech_single,bkbf0216,The school finished early,2
5edd263a2514f6a1f7efe19a,23,speech_single,bkbf0913,The dinner plate's hot,1
5edd263a2514f6a1f7efe19a,24,speech_single,bkbf0502,The matches lie on the shelf,3
5edd263a2514f6a1f7efe19a,25,speech_single,bkbf1907,A grocer sells butter,0
5edd263a2514f6a1f7efe19a,26,speech_single,bkbf1203,The front garden was pretty,2
5edd263a2514f6a1f7efe19a,27,speech_single,bkbf0812,The bus stopped suddenly,3
5edd263a2514f6a1f7efe19a,28,speech_single,bkbf1616,The painter used a brush,0
5edd263a2514f6a1f7efe19a,29,speech_single,bkbf0906,A letter fell on the mat,1
5edd263a2514f6a1f7efe19a,30,speech_single,bkbf1701,The apple pie's cooking,3
5edd263a2514f6a1f7efe19a,31,speech_single,bkbf0602,The mother stirs the tea,0
5edd263a2514f6a1f7efe19a,32,speech_single,bkbf1008,Someones crossing the road,3
5edd263a2514f6a1f7efe19a,33,speech_single,bkbf1609,Some men shave in the morning,0
5edd263a2514f6a1f7efe19a,34,speech_single,bkbf0109,The postman shut the gate,3
5edd263a2514f6a1f7efe19a,35,speech_single,bkbf0204,The old gloves are dirty,0
5edd263a2514f6a1f7efe19a,36,speech_single,bkbf2016,The flower stands in a pot,2
5edd263a2514f6a1f7efe19a,37,speech_single,bkbf0501,The bath towel was wet,2
5edd263a2514f6a1f7efe19a,38,speech_single,bkbf0201,The ladder's near the door,2
5edd263a2514f6a1f7efe19a,39,speech_single,bkbf1415,The grass is getting long,1
5edd263a2514f6a1f7efe19a,40,speech_single,bkbf1906,The cleaner swept the floor,3
5ee2103e6e98a7641518c76e,1,speech_single,bkbf0201,The ladder's near the door,2
5ee2103e6e98a7641518c76e,2,speech_single,bkbf0913,The dinner plate's hot,0
5ee2103e6e98a7641518c76e,3,speech_single,bkbf1516,The puppy plays with a ball,2
5ee2103e6e98a7641518c76e,4,speech_single,bkbf1408,The kitchen window was clean,3
5ee2103e6e98a7641518c76e,5,speech_single,bkbf2112,The cricket team's playing,3
5ee2103e6e98a7641518c76e,6,speech_single,bkbf0310,The man cleaned his shoes,3
5ee2103e6e98a7641518c76e,7,speech_single,bkbf0906,A letter fell on the mat,3
5ee2103e6e98a7641518c76e,8,speech_single,bkbf2110,The egg cups are on the table,1
5ee2103e6e98a7641518c76e,9,speech_single,bkbf0216,The school finished early,3
5ee2103e6e98a7641518c76e,10,speech_single,bkbf0615,The broom stood in the corner,0
5ee2103e6e98a7641518c76e,11,speech_single,bkbf0206,The thin dog was hungry,3
5ee2103e6e98a7641518c76e,12,speech_single,bkbf0213,Some sticks were under the tree,3
5ee2103e6e98a7641518c76e,13,speech_single,bkbf0501,The bath towel was wet,3
5ee2103e6e98a7641518c76e,14,speech_single,bkbf1609,Some men shave in the morning,2
5ee2103e6e98a7641518c76e,15,speech_single,bkbf2012,The raincoat's hanging up,0
5ee2103e6e98a7641518c76e,16,speech_single,bkbf1701,The apple pie's cooking,3
5ee2103e6e98a7641518c76e,17,speech_single,bkbf1906,The cleaner swept the floor,2
5ee2103e6e98a7641518c76e,18,speech_single,bkbf1008,Someones crossing the road,2
5ee2103e6e98a7641518c76e,19,speech_single,bkbf1203,The front garden was pretty,3
5ee2103e6e98a7641518c76e,20,speech_single,bkbf1212,The children help the milkman,3
5ee2103e6e98a7641518c76e,21,speech_single,bkbf0714,The orange was quite sweet,2
5ee2103e6e98a7641518c76e,22,speech_single,bkbf1616,The painter used a brush,0
5ee2103e6e98a7641518c76e,23,speech_single,bkbf0204,The old gloves are dirty,3
5ee2103e6e98a7641518c76e,24,speech_single,bkbf1205,The taps are above the sink,3
5ee2103e6e98a7641518c76e,25,speech_single,bkbf0210,The police chased the car,2
5ee2103e6e98a7641518c76e,26,speech_single,bkbf1415,The grass is getting long,3
5ee2103e6e98a7641518c76e,27,speech_single,bkbf1215,The boy had a toy dragon,3
5ee2103e6e98a7641518c76e,28,speech_single,bkbf2016,The flower stands in a pot,3
5ee2103e6e98a7641518c76e,29,speech_single,bkbf1208,The bread van's coming,2
5ee2103e6e98a7641518c76e,30,speech_single,bkbf0109,The postman shut the gate,2
5ee2103e6e98a7641518c76e,31,speech_single,bkbf1301,The fruit came in a box,1
5ee2103e6e98a7641518c76e,32,speech_single,bkbf0912,The lady packed her bag,0
5ee2103e6e98a7641518c76e,33,speech_single,bkbf1907,A grocer sells butter,2
5ee2103e6e98a7641518c76e,34,speech_single,bkbf0502,The matches lie on the shelf,3
5ee2103e6e98a7641518c76e,35,speech_single,bkbf0803,The match boxes are empty,3
5ee2103e6e98a7641518c76e,36,speech_single,bkbf0812,The bus stopped suddenly,3
5ee2103e6e98a7641518c76e,37,speech_single,bkbf0512,Somebody took the money,3
5ee2103e6e98a7641518c76e,38,speech_single,bkbf0602,The mother stirs the tea,1
5ee2103e6e98a7641518c76e,39,speech_single,bkbf0414,The cooks making a cake,2
5ee2103e6e98a7641518c76e,40,speech_single,bkbf0411,The jam jar was full,3
5ef660beebde2833d8492e58,1,speech_single,bkbf0213,Some sticks were under the tree,2
5ef660beebde2833d8492e58,2,speech_single,bkbf1215,The boy had a toy dragon,3
5ef660beebde2833d8492e58,3,speech_single,bkbf1516,The puppy plays with a ball,1
5ef660beebde2833d8492e58,4,speech_single,bkbf0912,The lady packed her bag,3
5ef660beebde2833d8492e58,5,speech_single,bkbf1609,Some men shave in the morning,0
5ef660beebde2833d8492e58,6,speech_single,bkbf2012,The raincoat's hanging up,0
5ef660beebde2833d8492e58,7,speech_single,bkbf2110,The egg cups are on the table,1
5ef660beebde2833d8492e58,8,speech_single,bkbf1701,The apple pie's cooking,0
5ef660beebde2833d8492e58,9,speech_single,bkbf0210,The police chased the car,0
5ef660beebde2833d8492e58,10,speech_single,bkbf1008,Someones crossing the road,2
5ef660beebde2833d8492e58,11,speech_single,bkbf0216,The school finished early,2
5ef660beebde2833d8492e58,12,speech_single,bkbf2112,The cricket team's playing,0
5ef660beebde2833d8492e58,13,speech_single,bkbf0414,The cooks making a cake,0
5ef660beebde2833d8492e58,14,speech_single,bkbf0615,The broom stood in the corner,2
5ef660beebde2833d8492e58,15,speech_single,bkbf0501,The bath towel was wet,1
5ef660beebde2833d8492e58,16,speech_single,bkbf0411,The jam jar was full,0
5ef660beebde2833d8492e58,17,speech_single,bkbf1907,A grocer sells butter,0
5ef660beebde2833d8492e58,18,speech_single,bkbf0502,The matches lie on the shelf,1
5ef660beebde2833d8492e58,19,speech_single,bkbf2016,The flower stands in a pot,0
5ef660beebde2833d8492e58,20,speech_single,bkbf0803,The match boxes are empty,3
5ef660beebde2833d8492e58,21,speech_single,bkbf0310,The man cleaned his shoes,2
5ef660beebde2833d8492e58,22,speech_single,bkbf1906,The cleaner swept the floor,2
