participant,trial,task,sentence,answer_speech,keyword_1,keyword_2,keyword_3,count_correct,prompt,answer_img,response,correctness,rt
5997e57d6b939900012da0e2,4,speech_td_48_60,bkbf0109,The postman shut the gate,postman,shut,gate,3,TD_48_60_seq_3.png,No,No,1,335.5
5997e57d6b939900012da0e2,28,speech_td_48_60,bkbf0201,The ladder's near the door,ladders,near,door,3,TD_48_60_seq_4.png,No,No,1,314.1999999
5997e57d6b939900012da0e2,11,speech_td_48_60,bkbf0204,The old gloves are dirty,old,gloves,dirty,2,TD_48_60_seq_5.png,No,No,1,686.7
5997e57d6b939900012da0e2,20,speech_td_48_60,bkbf0206,The thin dog was hungry,thin,dog,hungry,2,TD_48_60_seq_6.png,No,No,1,465.9
5997e57d6b939900012da0e2,34,speech_td_48_60,bkbf0210,The police chased the car,police,chased,car,3,TD_48_60_seq_7.png,No,No,1,358.3
5997e57d6b939900012da0e2,9,speech_td_48_60,bkbf0213,Some sticks were under the tree,sticks,under,tree,3,TD_48_60_seq_8.png,No,No,1,552.5
5997e57d6b939900012da0e2,6,speech_td_48_60,bkbf0216,The school finished early,school,finished,early,3,TD_48_60_seq_9.png,No,No,1,586
5997e57d6b939900012da0e2,13,speech_td_48_60,bkbf0310,The man cleaned his shoes,man,cleaned,shoes,3,TD_48_60_seq_10.png,No,No,1,340
5997e57d6b939900012da0e2,27,speech_td_48_60,bkbf0411,The jam jar was full,jam,jar,full,3,TD_48_60_seq_11.png,No,No,1,360.1
5997e57d6b939900012da0e2,33,speech_td_48_60,bkbf0414,The cooks making a cake,cooks,making,cake,2,TD_48_60_seq_12.png,No,No,1,354.6999999
5997e57d6b939900012da0e2,12,speech_td_48_60,bkbf0501,The bath towel was wet,bath,towel,wet,3,TD_48_60_seq_13.png,No,No,1,386.8000001
5997e57d6b939900012da0e2,15,speech_td_48_60,bkbf0502,The matches lie on the shelf,matches,lie,shelf,2,TD_48_60_seq_14.png,No,No,1,389.6999999
5997e57d6b939900012da0e2,5,speech_td_48_60,bkbf0512,Somebody took the money,Somebody,took,money,3,TD_48_60_seq_15.png,No,No,1,287.9000001
5997e57d6b939900012da0e2,3,speech_td_48_60,bkbf0602,The mother stirs the tea,mother,stirs,tea,0,TD_48_60_seq_16.png,No,No,1,1183.8
5997e57d6b939900012da0e2,29,speech_td_48_60,bkbf0615,The broom stood in the corner,broom,stood,corner,2,TD_48_60_seq_17.png,No,No,1,386.5
5997e57d6b939900012da0e2,21,speech_td_48_60,bkbf0714,The orange was quite sweet,orange,quite,sweet,3,TD_48_60_seq_18.png,No,No,1,380.6
5997e57d6b939900012da0e2,16,speech_td_48_60,bkbf0803,The match boxes are empty,match,boxes,empty,3,TD_48_60_seq_19.png,No,No,1,505
5997e57d6b939900012da0e2,1,speech_td_48_60,bkbf0812,The bus stopped suddenly,bus,stopped,suddenly,2,TD_48_60_seq_20.png,No,No,1,632.5999999
5997e57d6b939900012da0e2,25,speech_td_48_60,bkbf0906,A letter fell on the mat,letter,fell,mat,1,TD_48_60_seq_21.png,No,No,1,510.8
5997e57d6b939900012da0e2,26,speech_td_48_60,bkbf0912,The lady packed her bag,lady,packed,bag,3,TD_48_60_seq_22.png,No,No,1,413.1
5997e57d6b939900012da0e2,36,speech_td_48_60,bkbf0913,The dinner plate's hot,dinner,plates,hot,0,TD_48_60_seq_25.png,Yes,Yes,1,683.1
5997e57d6b939900012da0e2,37,speech_td_48_60,bkbf1008,Someones crossing the road,Someones,crossing,road,3,TD_48_60_seq_26.png,Yes,Yes,1,432.6
5997e57d6b939900012da0e2,18,speech_td_48_60,bkbf1203,The front garden was pretty,front,garden,pretty,3,TD_48_60_seq_27.png,Yes,Yes,1,357.6999999
5997e57d6b939900012da0e2,24,speech_td_48_60,bkbf1205,The taps are above the sink,taps,above,sink,3,TD_48_60_seq_28.png,Yes,Yes,1,422.3
5997e57d6b939900012da0e2,39,speech_td_48_60,bkbf1208,The bread van's coming,bread,vans,coming,2,TD_48_60_seq_29.png,Yes,Yes,1,473
5997e57d6b939900012da0e2,31,speech_td_48_60,bkbf1212,The children help the milkman,children,help,milkman,3,TD_48_60_seq_30.png,Yes,Yes,1,357.7
5997e57d6b939900012da0e2,7,speech_td_48_60,bkbf1215,The boy had a toy dragon,boy,toy,dragon,3,TD_48_60_seq_31.png,Yes,Yes,1,510.4000001
5997e57d6b939900012da0e2,30,speech_td_48_60,bkbf1301,The fruit came in a box,fruit,came,box,1,TD_48_60_seq_32.png,Yes,Yes,1,343.3
5997e57d6b939900012da0e2,10,speech_td_48_60,bkbf1408,The kitchen window was clean,kitchen,window,clean,3,TD_48_60_seq_33.png,Yes,Yes,1,378.9
5997e57d6b939900012da0e2,2,speech_td_48_60,bkbf1415,The grass is getting long,grass,getting,long,3,TD_48_60_seq_34.png,Yes,Yes,1,453.6
5997e57d6b939900012da0e2,40,speech_td_48_60,bkbf1516,The puppy plays with a ball,puppy,plays,ball,3,TD_48_60_seq_35.png,Yes,Yes,1,393.8000001
5997e57d6b939900012da0e2,38,speech_td_48_60,bkbf1609,Some men shave in the morning,men,shave,morning,0,TD_48_60_seq_36.png,Yes,Yes,1,268.3000001
5997e57d6b939900012da0e2,8,speech_td_48_60,bkbf1616,The painter used a brush,painter,used,brush,3,TD_48_60_seq_37.png,Yes,Yes,1,467.3000001
5997e57d6b939900012da0e2,14,speech_td_48_60,bkbf1701,The apple pie's cooking,apple,pies,cooking,1,TD_48_60_seq_38.png,Yes,Yes,1,580.1999999
5997e57d6b939900012da0e2,22,speech_td_48_60,bkbf1906,The cleaner swept the floor,cleaner,swept,floor,2,TD_48_60_seq_39.png,Yes,Yes,1,331.3
5997e57d6b939900012da0e2,23,speech_td_48_60,bkbf1907,A grocer sells butter,grocer,sells,butter,0,TD_48_60_seq_40.png,Yes,Yes,1,849.3000001
5997e57d6b939900012da0e2,17,speech_td_48_60,bkbf2012,The raincoat's hanging up,raincoats,hanging,up,0,TD_48_60_seq_41.png,Yes,Yes,1,381
5997e57d6b939900012da0e2,19,speech_td_48_60,bkbf2016,The flower stands in a pot,flower,stands,pot,0,TD_48_60_seq_42.png,Yes,Yes,1,534.9
5997e57d6b939900012da0e2,32,speech_td_48_60,bkbf2110,The egg cups are on the table,egg,cups,table,2,TD_48_60_seq_43.png,Yes,Yes,1,340.9
5997e57d6b939900012da0e2,35,speech_td_48_60,bkbf2112,The cricket team's playing,cricket,teams,playing,1,TD_48_60_seq_44.png,Yes,No,0,892.5
5a539d0b76d1c60001aabd7a,28,speech_td_0_12,bkbf0109,The postman shut the gate,postman,shut,gate,0,TD_0_12_seq_3.png,No,Yes,0,364.6
5a539d0b76d1c60001aabd7a,12,speech_td_0_12,bkbf0201,The ladder's near the door,ladders,near,door,3,TD_0_12_seq_4.png,No,No,1,358.3
5a539d0b76d1c60001aabd7a,1,speech_td_0_12,bkbf0204,The old gloves are dirty,old,gloves,dirty,0,TD_0_12_seq_5.png,No,No,1,1416.2
5a539d0b76d1c60001aabd7a,13,speech_td_0_12,bkbf0206,The thin dog was hungry,thin,dog,hungry,3,TD_0_12_seq_6.png,No,No,1,237.4
5a539d0b76d1c60001aabd7a,23,speech_td_0_12,bkbf0210,The police chased the car,police,chased,car,3,TD_0_12_seq_7.png,No,No,1,497.7
5a539d0b76d1c60001aabd7a,35,speech_td_0_12,bkbf0213,Some sticks were under the tree,sticks,under,tree,3,TD_0_12_seq_8.png,No,No,1,550.1
5a539d0b76d1c60001aabd7a,33,speech_td_0_12,bkbf0216,The school finished early,school,finished,early,3,TD_0_12_seq_9.png,No,Yes,0,486.4
5a539d0b76d1c60001aabd7a,15,speech_td_0_12,bkbf0310,The man cleaned his shoes,man,cleaned,shoes,3,TD_0_12_seq_10.png,No,No,1,182
5a539d0b76d1c60001aabd7a,18,speech_td_0_12,bkbf0411,The jam jar was full,jam,jar,full,3,TD_0_12_seq_11.png,No,Yes,0,328
5a539d0b76d1c60001aabd7a,31,speech_td_0_12,bkbf0414,The cooks making a cake,cooks,making,cake,0,TD_0_12_seq_12.png,No,No,1,340.8
5a539d0b76d1c60001aabd7a,34,speech_td_0_12,bkbf0501,The bath towel was wet,bath,towel,wet,3,TD_0_12_seq_13.png,No,No,1,710.4
5a539d0b76d1c60001aabd7a,5,speech_td_0_12,bkbf0502,The matches lie on the shelf,matches,lie,shelf,3,TD_0_12_seq_14.png,No,Yes,0,592.4
5a539d0b76d1c60001aabd7a,24,speech_td_0_12,bkbf0512,Somebody took the money,Somebody,took,money,3,TD_0_12_seq_15.png,No,Yes,0,275.1
5a539d0b76d1c60001aabd7a,2,speech_td_0_12,bkbf0602,The mother stirs the tea,mother,stirs,tea,0,TD_0_12_seq_16.png,No,Yes,0,511.5
5a539d0b76d1c60001aabd7a,6,speech_td_0_12,bkbf0615,The broom stood in the corner,broom,stood,corner,1,TD_0_12_seq_17.png,No,No,1,554.9
5a539d0b76d1c60001aabd7a,21,speech_td_0_12,bkbf0714,The orange was quite sweet,orange,quite,sweet,3,TD_0_12_seq_18.png,No,Yes,0,728.8
5a539d0b76d1c60001aabd7a,30,speech_td_0_12,bkbf0803,The match boxes are empty,match,boxes,empty,3,TD_0_12_seq_19.png,No,No,1,527.4
5a539d0b76d1c60001aabd7a,22,speech_td_0_12,bkbf0812,The bus stopped suddenly,bus,stopped,suddenly,2,TD_0_12_seq_20.png,No,No,1,904.7
5a539d0b76d1c60001aabd7a,27,speech_td_0_12,bkbf0906,A letter fell on the mat,letter,fell,mat,2,TD_0_12_seq_21.png,No,Yes,0,339.1
5a539d0b76d1c60001aabd7a,36,speech_td_0_12,bkbf0912,The lady packed her bag,lady,packed,bag,2,TD_0_12_seq_22.png,No,No,1,230.4
5a539d0b76d1c60001aabd7a,10,speech_td_0_12,bkbf0913,The dinner plate's hot,dinner,plates,hot,0,TD_0_12_seq_25.png,Yes,No,0,387.4
5a539d0b76d1c60001aabd7a,29,speech_td_0_12,bkbf1008,Someones crossing the road,Someones,crossing,road,2,TD_0_12_seq_26.png,Yes,Yes,1,158.8
5a539d0b76d1c60001aabd7a,11,speech_td_0_12,bkbf1203,The front garden was pretty,front,garden,pretty,2,TD_0_12_seq_27.png,Yes,Yes,1,382.5
5a539d0b76d1c60001aabd7a,8,speech_td_0_12,bkbf1205,The taps are above the sink,taps,above,sink,0,TD_0_12_seq_28.png,Yes,No,0,422.6
5a539d0b76d1c60001aabd7a,9,speech_td_0_12,bkbf1208,The bread van's coming,bread,vans,coming,1,TD_0_12_seq_29.png,Yes,Yes,1,459.6
5a539d0b76d1c60001aabd7a,32,speech_td_0_12,bkbf1212,The children help the milkman,children,help,milkman,3,TD_0_12_seq_30.png,Yes,Yes,1,247.1
5a539d0b76d1c60001aabd7a,25,speech_td_0_12,bkbf1215,The boy had a toy dragon,boy,toy,dragon,3,TD_0_12_seq_31.png,Yes,Yes,1,397.1
5a539d0b76d1c60001aabd7a,37,speech_td_0_12,bkbf1301,The fruit came in a box,fruit,came,box,1,TD_0_12_seq_32.png,Yes,No,0,565
5a539d0b76d1c60001aabd7a,3,speech_td_0_12,bkbf1408,The kitchen window was clean,kitchen,window,clean,1,TD_0_12_seq_33.png,Yes,No,0,479.4
5a539d0b76d1c60001aabd7a,14,speech_td_0_12,bkbf1415,The grass is getting long,grass,getting,long,3,TD_0_12_seq_34.png,Yes,Yes,1,306.7
5a539d0b76d1c60001aabd7a,19,speech_td_0_12,bkbf1516,The puppy plays with a ball,puppy,plays,ball,3,TD_0_12_seq_35.png,Yes,Yes,1,436.9
5a539d0b76d1c60001aabd7a,39,speech_td_0_12,bkbf1609,Some men shave in the morning,men,shave,morning,0,TD_0_12_seq_36.png,Yes,Yes,1,335.5
5a539d0b76d1c60001aabd7a,26,speech_td_0_12,bkbf1616,The painter used a brush,painter,used,brush,0,TD_0_12_seq_37.png,Yes,Yes,1,243.8
5a539d0b76d1c60001aabd7a,17,speech_td_0_12,bkbf1701,The apple pie's cooking,apple,pies,cooking,0,TD_0_12_seq_38.png,Yes,Yes,1,348.1
5a539d0b76d1c60001aabd7a,4,speech_td_0_12,bkbf1906,The cleaner swept the floor,cleaner,swept,floor,2,TD_0_12_seq_39.png,Yes,No,0,475.1
5a539d0b76d1c60001aabd7a,38,speech_td_0_12,bkbf1907,A grocer sells butter,grocer,sells,butter,2,TD_0_12_seq_40.png,Yes,No,0,379.8
5a539d0b76d1c60001aabd7a,40,speech_td_0_12,bkbf2012,The raincoat's hanging up,raincoats,hanging,up,0,TD_0_12_seq_41.png,Yes,Yes,1,318.4
5a539d0b76d1c60001aabd7a,7,speech_td_0_12,bkbf2016,The flower stands in a pot,flower,stands,pot,3,TD_0_12_seq_42.png,Yes,Yes,1,533.3
5a539d0b76d1c60001aabd7a,20,speech_td_0_12,bkbf2110,The egg cups are on the table,egg,cups,table,3,TD_0_12_seq_43.png,Yes,No,0,322.4
5a539d0b76d1c60001aabd7a,16,speech_td_0_12,bkbf2112,The cricket team's playing,cricket,teams,playing,0,TD_0_12_seq_44.png,Yes,Yes,1,390.5
5bc10133904b2f000194b264,14,speech_td_48_60,bkbf0109,The postman shut the gate,postman,shut,gate,1,TD_48_60_seq_3.png,No,No,1,1505.5
5bc10133904b2f000194b264,12,speech_td_48_60,bkbf0201,The ladder's near the door,ladders,near,door,2,TD_48_60_seq_4.png,No,No,1,513.8
5bc10133904b2f000194b264,33,speech_td_48_60,bkbf0204,The old gloves are dirty,old,gloves,dirty,2,TD_48_60_seq_5.png,No,No,1,549.2
5bc10133904b2f000194b264,24,speech_td_48_60,bkbf0206,The thin dog was hungry,thin,dog,hungry,1,TD_48_60_seq_6.png,No,No,1,516.9
5bc10133904b2f000194b264,38,speech_td_48_60,bkbf0210,The police chased the car,police,chased,car,1,TD_48_60_seq_7.png,No,No,1,545.5
5bc10133904b2f000194b264,13,speech_td_48_60,bkbf0213,Some sticks were under the tree,sticks,under,tree,1,TD_48_60_seq_8.png,No,No,1,392.9
5bc10133904b2f000194b264,5,speech_td_48_60,bkbf0216,The school finished early,school,finished,early,3,TD_48_60_seq_9.png,No,No,1,512.7
5bc10133904b2f000194b264,32,speech_td_48_60,bkbf0310,The man cleaned his shoes,man,cleaned,shoes,2,TD_48_60_seq_10.png,No,No,1,313.5
5bc10133904b2f000194b264,17,speech_td_48_60,bkbf0411,The jam jar was full,jam,jar,full,3,TD_48_60_seq_11.png,No,No,1,687.5
5bc10133904b2f000194b264,25,speech_td_48_60,bkbf0414,The cooks making a cake,cooks,making,cake,2,TD_48_60_seq_12.png,No,No,1,822.4000001
5bc10133904b2f000194b264,2,speech_td_48_60,bkbf0501,The bath towel was wet,bath,towel,wet,1,TD_48_60_seq_13.png,No,No,1,492.2
5bc10133904b2f000194b264,15,speech_td_48_60,bkbf0502,The matches lie on the shelf,matches,lie,shelf,2,TD_48_60_seq_14.png,No,No,1,532.2
5bc10133904b2f000194b264,28,speech_td_48_60,bkbf0512,Somebody took the money,Somebody,took,money,3,TD_48_60_seq_15.png,No,No,1,422.9
5bc10133904b2f000194b264,21,speech_td_48_60,bkbf0602,The mother stirs the tea,mother,stirs,tea,1,TD_48_60_seq_16.png,No,No,1,524.8
5bc10133904b2f000194b264,4,speech_td_48_60,bkbf0615,The broom stood in the corner,broom,stood,corner,0,TD_48_60_seq_17.png,No,No,1,484.3
5bc10133904b2f000194b264,10,speech_td_48_60,bkbf0714,The orange was quite sweet,orange,quite,sweet,0,TD_48_60_seq_18.png,No,No,1,628.7
5bc10133904b2f000194b264,7,speech_td_48_60,bkbf0803,The match boxes are empty,match,boxes,empty,3,TD_48_60_seq_19.png,No,No,1,447.9
5bc10133904b2f000194b264,3,speech_td_48_60,bkbf0812,The bus stopped suddenly,bus,stopped,suddenly,2,TD_48_60_seq_20.png,No,No,1,1291
5bc10133904b2f000194b264,22,speech_td_48_60,bkbf0906,A letter fell on the mat,letter,fell,mat,1,TD_48_60_seq_21.png,No,No,1,645.3
5bc10133904b2f000194b264,31,speech_td_48_60,bkbf0912,The lady packed her bag,lady,packed,bag,0,TD_48_60_seq_22.png,No,No,1,1101.8
5bc10133904b2f000194b264,8,speech_td_48_60,bkbf0913,The dinner plate's hot,dinner,plates,hot,1,TD_48_60_seq_25.png,Yes,Yes,1,393.5
5bc10133904b2f000194b264,16,speech_td_48_60,bkbf1008,Someones crossing the road,Someones,crossing,road,2,TD_48_60_seq_26.png,Yes,Yes,1,779.6
5bc10133904b2f000194b264,30,speech_td_48_60,bkbf1203,The front garden was pretty,front,garden,pretty,3,TD_48_60_seq_27.png,Yes,No,0,617.3000001
5bc10133904b2f000194b264,40,speech_td_48_60,bkbf1205,The taps are above the sink,taps,above,sink,2,TD_48_60_seq_28.png,Yes,No,0,386.3000001
5bc10133904b2f000194b264,6,speech_td_48_60,bkbf1208,The bread van's coming,bread,vans,coming,1,TD_48_60_seq_29.png,Yes,No,0,530.1999999
5bc10133904b2f000194b264,23,speech_td_48_60,bkbf1212,The children help the milkman,children,help,milkman,3,TD_48_60_seq_30.png,Yes,No,0,921.5
5bc10133904b2f000194b264,29,speech_td_48_60,bkbf1215,The boy had a toy dragon,boy,toy,dragon,3,TD_48_60_seq_31.png,Yes,No,0,320.8
5bc10133904b2f000194b264,37,speech_td_48_60,bkbf1301,The fruit came in a box,fruit,came,box,1,TD_48_60_seq_32.png,Yes,Yes,1,670.6
5bc10133904b2f000194b264,26,speech_td_48_60,bkbf1408,The kitchen window was clean,kitchen,window,clean,3,TD_48_60_seq_33.png,Yes,No,0,624.4
5bc10133904b2f000194b264,11,speech_td_48_60,bkbf1415,The grass is getting long,grass,getting,long,3,TD_48_60_seq_34.png,Yes,Yes,1,420.3000001
5bc10133904b2f000194b264,27,speech_td_48_60,bkbf1516,The puppy plays with a ball,puppy,plays,ball,1,TD_48_60_seq_35.png,Yes,Yes,1,462.1
5bc10133904b2f000194b264,35,speech_td_48_60,bkbf1609,Some men shave in the morning,men,shave,morning,0,TD_48_60_seq_36.png,Yes,No,0,527.8
5bc10133904b2f000194b264,36,speech_td_48_60,bkbf1616,The painter used a brush,painter,used,brush,3,TD_48_60_seq_37.png,Yes,Yes,1,278.9
5bc10133904b2f000194b264,18,speech_td_48_60,bkbf1701,The apple pie's cooking,apple,pies,cooking,3,TD_48_60_seq_38.png,Yes,Yes,1,297.3
5bc10133904b2f000194b264,39,speech_td_48_60,bkbf1906,The cleaner swept the floor,cleaner,swept,floor,0,TD_48_60_seq_39.png,Yes,No,0,909.6999999
5bc10133904b2f000194b264,20,speech_td_48_60,bkbf1907,A grocer sells butter,grocer,sells,butter,2,TD_48_60_seq_40.png,Yes,Yes,1,619.6
5bc10133904b2f000194b264,34,speech_td_48_60,bkbf2012,The raincoat's hanging up,raincoats,hanging,up,1,TD_48_60_seq_41.png,Yes,Yes,1,689.6999999
5bc10133904b2f000194b264,9,speech_td_48_60,bkbf2016,The flower stands in a pot,flower,stands,pot,0,TD_48_60_seq_42.png,Yes,No,0,2094.7
5bc10133904b2f000194b264,1,speech_td_48_60,bkbf2110,The egg cups are on the table,egg,cups,table,1,TD_48_60_seq_43.png,Yes,Yes,1,474.3
5bc10133904b2f000194b264,19,speech_td_48_60,bkbf2112,The cricket team's playing,cricket,teams,playing,0,TD_48_60_seq_44.png,Yes,No,0,618.4
5bccea9f11567100015264dc,34,speech_td_48_60,bkbf0109,The postman shut the gate,postman,shut,gate,2,TD_48_60_seq_3.png,No,Yes,0,630.5
5bccea9f11567100015264dc,6,speech_td_48_60,bkbf0201,The ladder's near the door,ladders,near,door,1,TD_48_60_seq_4.png,No,No,1,264.0999999
5bccea9f11567100015264dc,11,speech_td_48_60,bkbf0204,The old gloves are dirty,old,gloves,dirty,3,TD_48_60_seq_5.png,No,Yes,0,569.9000001
5bccea9f11567100015264dc,28,speech_td_48_60,bkbf0206,The thin dog was hungry,thin,dog,hungry,2,TD_48_60_seq_6.png,No,No,1,293.4000001
5bccea9f11567100015264dc,12,speech_td_48_60,bkbf0210,The police chased the car,police,chased,car,2,TD_48_60_seq_7.png,No,No,1,890.1000001
5bccea9f11567100015264dc,31,speech_td_48_60,bkbf0213,Some sticks were under the tree,sticks,under,tree,1,TD_48_60_seq_8.png,No,No,1,363.7
5bccea9f11567100015264dc,19,speech_td_48_60,bkbf0216,The school finished early,school,finished,early,3,TD_48_60_seq_9.png,No,No,1,398
5bccea9f11567100015264dc,3,speech_td_48_60,bkbf0310,The man cleaned his shoes,man,cleaned,shoes,3,TD_48_60_seq_10.png,No,Yes,0,351.2
5bccea9f11567100015264dc,16,speech_td_48_60,bkbf0411,The jam jar was full,jam,jar,full,3,TD_48_60_seq_11.png,No,Yes,0,213.1000001
5bccea9f11567100015264dc,32,speech_td_48_60,bkbf0414,The cooks making a cake,cooks,making,cake,3,TD_48_60_seq_12.png,No,No,1,421.5
5bccea9f11567100015264dc,10,speech_td_48_60,bkbf0501,The bath towel was wet,bath,towel,wet,1,TD_48_60_seq_13.png,No,Yes,0,154.9000001
5bccea9f11567100015264dc,4,speech_td_48_60,bkbf0502,The matches lie on the shelf,matches,lie,shelf,3,TD_48_60_seq_14.png,No,No,1,342.5
